ID,Right_Wing_Length,Total_Body_Length,Head_A_P,Head_D_V,Head_R_L,Pronotum_Length,Pronotum_Width,Notum_Length,Notum_Width,Right_Wing_Width,Right_Hind_Tibia_Length,Ovipositor_Length,Notes
outside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86781,NA,headless; wingless; would bebenfit from top view
outside,2.561435,NA,NA,NA,NA,NA,NA,NA,NA,0.956244,0.851139,0.776626,headless; no top view
outside,2.368743,4.59457,0.676453,0.487119,0.57011,0.591169,0.561911,0.807619,0.632353,0.917204,0.856105,NA,tail absent
outside,2.415017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790477,0.363518,headless
outside,1.578875,4.246893,NA,0.552671,0.809568,0.608276,0.77201,1.01789,0.874643,0.728289,0.540307,NA,tail absent
outside,2.042834,3.30372,NA,NA,0.605303,0.324542,0.386572,0.815896,0.624499,0.758602,0.565544,NA,ovipositor hidden
outside,1.957856,NA,0.207942,0.42339,0.460817,0.186338,0.294077,0.646148,0.488147,NA,NA,0.306323,ovipositor hidden
outside,1.486229,NA,0.208435,0.421914,0.429053,0.248842,0.269732,0.583904,0.46035,0.649191,0.382897,NA,tail absent
outside,1.47408,3.351786,0.312152,0.613429,0.68156,0.402127,0.402865,1.030828,0.702128,0.571567,0.778767,0.425436,
outside,2.153063,3.356534,0.316146,0.484811,0.57705,0.236694,0.364691,0.887997,0.490066,0.840536,0.923054,NA,no right hind tibia and ovipositor hidden
outside,1.661675,NA,0.293413,NA,0.537885,0.316239,0.354804,0.667337,0.496187,0.74011,0.598108,NA,ovipositor hidden
outside,2.285046,NA,0.233631,NA,0.700168,0.413601,0.483746,0.940258,0.691198,0.915231,0.995926,NA,ovipositor hidden
outside,2.254633,3.654366,0.42505,0.629575,0.596137,0.358176,0.362657,1.054881,0.632212,0.985337,0.749989,0.134823,
inside,1.7755,NA,NA,NA,0.515303,0.369624,0.337943,0.790891,0.469339,0.728121,0.561177,0.349463,bug bent in half at midsection; no good side shot for head
outside,2.217152,3.706967,0.303422,0.606666,0.635428,0.44008,0.431347,1.033578,0.644775,NA,0.771205,0.426211,no good wing shot for width
inside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"just wings, notum, and tail; would benefit from a wing slide photo?"
outside,NA,NA,0.179138,0.227787,0.425247,0.323498,0.218338,0.670055,0.392801,NA,NA,NA,tail absent; very broken bug; degraded right wing
outside,2.203447,3.845757,0.322237,0.578752,0.701773,0.482247,0.446954,1.095921,0.714699,0.897141,NA,NA,ovipositor hidden
outside,2.272483,3.282345,0.263323,0.504399,0.619427,NA,NA,NA,NA,0.876584,NA,NA,no good top view; ovipositor hidden
outside,NA,NA,0.146894,0.428141,NA,NA,NA,NA,NA,NA,0.475386,NA,would benefit from top and wing shot; no ovipositor
outside,2.309166,3.771696,0.301823,0.608005,0.685365,0.533784,0.552211,0.982171,0.76835,0.832026,0.570773,0.394538,
outside,1.574514,NA,NA,NA,0.479333,0.276687,0.236197,0.758478,0.418675,0.709434,0.516744,NA,tail absent
outside,2.513969,3.75129,0.320265,0.574752,0.705727,0.423612,0.467114,0.989482,0.677814,1.033927,0.713326,NA,ovipositor hidden
outside,NA,1.67621,NA,NA,0.416349,0.286027,0.291868,0.6726,0.43928,NA,0.356126,NA,"really small bug; tiny ovipositor, review total body length w george"
outside,1.634153,1.767754,0.224285,NA,0.503478,0.26111,0.263022,0.745111,0.459186,0.623761,0.494814,NA,"also really small bug; tiny ovipositor, review total body length w george"
outside,2.142019,3.699581,0.340294,0.61123,0.622577,0.500136,0.434617,1.115986,0.607499,0.853952,0.827125,0.540335,extremely high qual picture
outside,2.170228,3.263993,0.388843,0.571851,0.640222,0.324918,0.33335,0.857755,0.560612,NA,0.755522,0.350327,broken right wing
outside,0.857701,3.442234,0.270555,0.55951,0.583062,0.374314,0.325021,0.819688,0.609795,0.882473,0.750119,NA,ovipositor hidden
outside,2.245017,3.897428,NA,NA,0.721146,0.451191,0.353407,1.04411,0.71442,0.922071,0.771301,0.335163,chipped right wing
outside,1.905387,3.009488,0.263067,0.502886,0.535896,0.3078,0.344263,0.874777,0.564479,0.840542,0.631557,NA,ovipositor hidden
outside,1.837998,2.756864,0.260935,0.466051,0.569562,0.371089,0.338325,0.811207,NA,0.737047,0.511285,NA,ovipositor hidden
outside,1.835756,2.739954,0.243982,0.467509,NA,NA,NA,NA,NA,0.748784,0.595592,0.254733,small notum and disproportionately long tail and legs; hard to get top shot
outside,1.659039,NA,0.186472,NA,NA,0.266307,0.28655,0.681353,0.482822,NA,0.530572,NA,tail absent; would benefit from wing shot
outside,2.399437,4.058325,0.389897,0.673799,0.739276,0.544621,0.508845,0.994007,0.748199,0.952424,0.847433,0.427551,
outside,1.960027,3.131999,0.231773,0.520637,0.598382,0.352931,0.336446,0.789393,0.58497,0.853115,0.703579,0.352103,
outside,2.220271,NA,NA,NA,NA,0.363126,0.382012,0.954147,0.599492,0.819655,0.721303,NA,headless; ovipositor hidden
outside,1.973659,3.129421,0.216275,0.490906,0.546979,0.341388,0.282815,0.635651,0.407493,NA,0.67918,NA,would benefit from wing shot; ovipositor hidden; beheaded
outside,NA,NA,NA,NA,0.488575,0.262128,0.286628,0.56357,0.409729,NA,NA,NA,"would benefit from wing shot; wings splayed, difficult to get side shot"
outside,1.58782,NA,0.174757,0.434936,0.398253,0.240584,0.25013,0.53907,0.407437,0.678063,0.473753,NA,tail absent
outside,NA,3.904629,NA,NA,NA,NA,NA,NA,NA,NA,0.786826,NA,NEED MORE PHOTOS
outside,1.511847,NA,0.194542,NA,0.493086,NA,NA,NA,NA,0.611201,NA,NA,tail absent
outside,1.455386,NA,0.198032,0.419444,NA,0.259324,0.266254,0.60976,0.479557,0.61867,0.429763,NA,tail absent
outside,1.215225,NA,NA,NA,0.484474,NA,NA,NA,NA,0.526492,0.434208,NA,tail absent; hard to get top shot
outside,2.302538,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749507,0.261814,headless; would benefit from top shot
outside,2.110427,NA,0.309934,0.5501,0.640559,0.242708,0.339767,0.821722,0.573741,0.849683,0.710627,NA,bottom half gone; tail absent
outside,NA,3.022779,NA,0.512618,0.580153,0.333933,0.278288,0.720278,0.452413,NA,0.634966,0.317457,bent bug; would benefit from wing shot
outside,2.126747,3.426251,0.277967,0.586428,0.66519,0.400093,0.369007,0.722378,0.576093,0.909025,0.854225,NA,ovipositor hidden
outside,2.279889,3.672831,0.322739,0.591231,0.65372,0.358151,0.333913,0.836039,0.63173,0.929507,0.441529,0.240264,
outside,1.389579,NA,NA,0.196269,0.480218,NA,NA,NA,NA,0.597033,0.472485,NA,tail absent; hard to get top shot
outside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing?? where is 89?
outside,NA,3.631625,NA,0.612639,0.699101,0.461693,0.417554,0.928372,0.687376,NA,NA,0.409556,missing right hind tibia; would benefit from wing shot
outside,2.079448,3.570922,0.295755,0.565273,0.589668,0.409758,0.355194,0.777582,0.505006,0.870295,0.768252,NA,ovipositor hidden
outside,2.101911,3.687876,0.308423,NA,0.695037,NA,NA,NA,NA,0.794835,0.899076,NA,beheaded; not great photos
